70,230
380,430
463,486
722,817
1109,1124
1536,1678
1752,1901
2011,2113
2243,2332
2354,2374
2415,2504
2576,2747
2803,2908
3014,3214
3339,3635
3758,3923
3933,4364
4439,4581
4760,4983
4996,5067
5241,5263
5316,5414
5505,5658
5750,5956
5971,6110
6174,6184
6206,6362
6381,6966
7091,7120
7160,7310
7353,7461
7477,7644
7697,7786
7911,8266
8328,8622
8731,8751
9091,9367
9624,9682
9696,9980
9998,10092
10143,11092
11195,11375
11530,11571
11591,11700
11770,11993
12033,12209
12394,12694
12783,12984
14114,14133
14207,14319
14418,14491
14507,14657
14744,14946
15106,15168
15206,15312
15438,15512
15535,15683
15818,15856
15930,16097
16192,16242
16276,16383
16411,16453
16500,17294
17459,17875
17939,17963
17974,18284
18348,19059
19070,19807
19901,20458
20535,20556
20574,20585
20604,20878
20896,21088
21119,22474
22682,22725
22746,22792
25310,25359
26662,26733
26892,26950
