Video Path,Count
H:\Disco\Paulami\All cropped videos\Ground_truth\Ground-truth\test8_1\test8_1\test8_1_JAABA,20
H:\Disco\Paulami\All cropped videos\test2\test2_1\test2_1\test2_1_JAABA,24
H:\Disco\Paulami\All cropped videos\test2\test2_2\test2_2\test2_2_JAABA,14
H:\Disco\Paulami\All cropped videos\test2\test2_3\test2_3\test2_3_JAABA,14
H:\Disco\Paulami\All cropped videos\test2\test2_5\test2_5\test2_5_JAABA,17
H:\Disco\Paulami\All cropped videos\test2\test2_6\test2_6\test2_6_JAABA,20
