"Video_chamber_5 - Counts for TP, FN: Manual Vs JAABA
"
Tuples overlapping with test tuple,"(11608, 11725)",are:,"[(11641, 11726)]"
Tuples overlapping with test tuple,"(11877, 11893)",are:,[]
Tuples overlapping with test tuple,"(11904, 11993)",are:,"[(11915, 11991)]"
Tuples overlapping with test tuple,"(12026, 12151)",are:,"[(12028, 12150)]"
Tuples overlapping with test tuple,"(13749, 13771)",are:,"[(13752, 13772)]"
Tuples overlapping with test tuple,"(13857, 13953)",are:,"[(13875, 13954)]"
Tuples overlapping with test tuple,"(14082, 14248)",are:,"[(14151, 14252)]"
Tuples overlapping with test tuple,"(14417, 14537)",are:,"[(14496, 14536)]"
Tuples overlapping with test tuple,"(14691, 14780)",are:,"[(14750, 14783)]"
Tuples overlapping with test tuple,"(15086, 15240)",are:,"[(15116, 15180), (15199, 15240)]"
Tuples overlapping with test tuple,"(15380, 15608)",are:,"[(15467, 15607)]"
Tuples overlapping with test tuple,"(15864, 15985)",are:,"[(15905, 15982)]"
Tuples overlapping with test tuple,"(16122, 16329)",are:,"[(16235, 16328)]"
Tuples overlapping with test tuple,"(16582, 16760)",are:,"[(16657, 16757)]"
Tuples overlapping with test tuple,"(17027, 17208)",are:,"[(17094, 17207)]"
Tuples overlapping with test tuple,"(17394, 17586)",are:,"[(17471, 17587)]"
Tuples overlapping with test tuple,"(17875, 17887)",are:,[]
Tuples overlapping with test tuple,"(17898, 17918)",are:,[]
Tuples overlapping with test tuple,"(17932, 18099)",are:,"[(17936, 18098)]"
Tuples overlapping with test tuple,"(18780, 18910)",are:,"[(18800, 18907)]"
Tuples overlapping with test tuple,"(19088, 19099)",are:,[]
Tuples overlapping with test tuple,"(19185, 19201)",are:,[]
Tuples overlapping with test tuple,"(19285, 19308)",are:,"[(19259, 19553)]"
Tuples overlapping with test tuple,"(19322, 19554)",are:,"[(19259, 19553)]"
Tuples overlapping with test tuple,"(19992, 20023)",are:,"[(19996, 20025)]"
Tuples overlapping with test tuple,"(20498, 20646)",are:,"[(20504, 20647)]"
Tuples overlapping with test tuple,"(20886, 20986)",are:,"[(20885, 20987)]"
Tuples overlapping with test tuple,"(21151, 21271)",are:,"[(21189, 21270)]"
Tuples overlapping with test tuple,"(21537, 21590)",are:,"[(21541, 21589)]"
Tuples overlapping with test tuple,"(22201, 22214)",are:,"[(22204, 22232)]"
Tuples overlapping with test tuple,"(24698, 24769)",are:,"[(24703, 24767)]"
Tuples overlapping with test tuple,"(24911, 25000)",are:,"[(24915, 25000)]"
Tuples overlapping with test tuple,"(25175, 25256)",are:,"[(25181, 25254)]"
Tuples overlapping with test tuple,"(25551, 25638)",are:,"[(25565, 25640)]"
Tuples overlapping with test tuple,"(26311, 26418)",are:,"[(26309, 26424)]"
Tuples overlapping with test tuple,"(26721, 26779)",are:,"[(26724, 26778)]"
"Video_chamber_5 - Counts for TP, FN: Manual Vs Matebook
"

Tuples overlapping with test tuple,"(3287, 3307)",are:,[]
Tuples overlapping with test tuple,"(3312, 3464)",are:,"[(3362, 3383), (3391, 3402), (3414, 3459)]"
Tuples overlapping with test tuple,"(3570, 3667)",are:,[]
Tuples overlapping with test tuple,"(3973, 3988)",are:,"[(3977, 3986)]"
Tuples overlapping with test tuple,"(3995, 4110)",are:,"[(3999, 4019)]"
Tuples overlapping with test tuple,"(4597, 4619)",are:,[]
Tuples overlapping with test tuple,"(4877, 5009)",are:,"[(4876, 5014)]"
Tuples overlapping with test tuple,"(5200, 5350)",are:,"[(5198, 5232), (5238, 5284), (5286, 5348)]"
Tuples overlapping with test tuple,"(5527, 5927)",are:,"[(5546, 5579), (5617, 5850)]"
Tuples overlapping with test tuple,"(6925, 6965)",are:,"[(6926, 6964)]"
Tuples overlapping with test tuple,"(6976, 7011)",are:,"[(6979, 7010)]"
Tuples overlapping with test tuple,"(8701, 8782)",are:,"[(8707, 8781)]"
Tuples overlapping with test tuple,"(9073, 9171)",are:,"[(9079, 9176)]"
Tuples overlapping with test tuple,"(9936, 9967)",are:,"[(9947, 9965)]"
Tuples overlapping with test tuple,"(10202, 10297)",are:,"[(10215, 10297)]"
Tuples overlapping with test tuple,"(10450, 10497)",are:,"[(10446, 10496)]"
Tuples overlapping with test tuple,"(10503, 10516)",are:,"[(10501, 10514)]"
Tuples overlapping with test tuple,"(10596, 10710)",are:,"[(10600, 10675), (10678, 10711)]"
Tuples overlapping with test tuple,"(11130, 11223)",are:,"[(11115, 11222)]"
Tuples overlapping with test tuple,"(11641, 11726)",are:,"[(11620, 11731)]"
